initial time: 0.0
initial time: 0.0009918212890625
initial time: 0.0010025501251220703
FLOODING: round:5, frame:3, iter:9, this-value:-77.40605780815898, time-cost:0.012033939361572266, ||iter-of-best-cache:3, frame-of-best-cache:2, round-best-value:-80.14818666328318
FLOODING: round:6, frame:1, iter:1, this-value:-106.01208841051138, time-cost:0.011972904205322266, ||iter-of-best-cache:1, frame-of-best-cache:1, round-best-value:-106.01208841051138
FLOODING: round:6, frame:1, iter:4, this-value:-104.33562138867237, time-cost:0.010995626449584961, ||iter-of-best-cache:1, frame-of-best-cache:1, round-best-value:-106.01208841051138
FLOODING: round:6, frame:1, iter:5, this-value:-80.1481866632832, time-cost:0.011031627655029297, ||iter-of-best-cache:1, frame-of-best-cache:1, round-best-value:-106.01208841051138
FLOODING: round:6, frame:1, iter:6, this-value:-80.1481866632832, time-cost:0.011973381042480469, ||iter-of-best-cache:1, frame-of-best-cache:1, round-best-value:-106.01208841051138
FLOODING: round:6, frame:1, iter:7, this-value:-80.1481866632832, time-cost:0.010019779205322266, ||iter-of-best-cache:1, frame-of-best-cache:1, round-best-value:-106.01208841051138
FLOODING: round:6, frame:1, iter:8, this-value:-80.1481866632832, time-cost:0.011974573135375977, ||iter-of-best-cache:1, frame-of-best-cache:1, round-best-value:-106.01208841051138
FLOODING: round:6, frame:1, iter:9, this-value:-80.1481866632832, time-cost:0.010001659393310547, ||iter-of-best-cache:1, frame-of-best-cache:1, round-best-value:-106.01208841051138
FLOODING: round:6, frame:2, iter:1, this-value:-106.01208841051138, time-cost:0.011003494262695312, ||iter-of-best-cache:1, frame-of-best-cache:2, round-best-value:-106.01208841051138
FLOODING: round:6, frame:2, iter:4, this-value:-104.33562138867234, time-cost:0.010995864868164062, ||iter-of-best-cache:1, frame-of-best-cache:2, round-best-value:-106.01208841051138
FLOODING: round:6, frame:2, iter:5, this-value:-80.14818666328318, time-cost:0.01000070571899414, ||iter-of-best-cache:1, frame-of-best-cache:2, round-best-value:-106.01208841051138
FLOODING: round:6, frame:2, iter:6, this-value:-80.14818666328318, time-cost:0.011997699737548828, ||iter-of-best-cache:1, frame-of-best-cache:2, round-best-value:-106.01208841051138
FLOODING: round:6, frame:2, iter:7, this-value:-80.14818666328318, time-cost:0.011999130249023438, ||iter-of-best-cache:1, frame-of-best-cache:2, round-best-value:-106.01208841051138
FLOODING: round:6, frame:2, iter:8, this-value:-80.14818666328318, time-cost:0.011001110076904297, ||iter-of-best-cache:1, frame-of-best-cache:2, round-best-value:-106.01208841051138
FLOODING: round:6, frame:2, iter:9, this-value:-80.14818666328318, time-cost:0.010030269622802734, ||iter-of-best-cache:1, frame-of-best-cache:2, round-best-value:-106.01208841051138
FLOODING: round:6, frame:3, iter:1, this-value:-72.12067105808825, time-cost:0.011969327926635742, ||iter-of-best-cache:1, frame-of-best-cache:2, round-best-value:-106.01208841051138
FLOODING: round:6, frame:3, iter:3, this-value:-80.14818666328318, time-cost:0.012033700942993164, ||iter-of-best-cache:3, frame-of-best-cache:3, round-best-value:-80.14818666328318
FLOODING: round:6, frame:3, iter:4, this-value:-70.4442040362492, time-cost:0.010998725891113281, ||iter-of-best-cache:3, frame-of-best-cache:3, round-best-value:-80.14818666328318
FLOODING: round:6, frame:3, iter:5, this-value:-46.25676931086006, time-cost:0.011001348495483398, ||iter-of-best-cache:3, frame-of-best-cache:3, round-best-value:-80.14818666328318
FLOODING: round:6, frame:3, iter:6, this-value:-77.95138572930153, time-cost:0.010999441146850586, ||iter-of-best-cache:3, frame-of-best-cache:3, round-best-value:-80.14818666328318
FLOODING: round:6, frame:3, iter:7, this-value:-46.25676931086006, time-cost:0.009999990463256836, ||iter-of-best-cache:3, frame-of-best-cache:3, round-best-value:-80.14818666328318
FLOODING: round:6, frame:3, iter:8, this-value:-46.25676931086006, time-cost:0.011000871658325195, ||iter-of-best-cache:3, frame-of-best-cache:3, round-best-value:-80.14818666328318
FLOODING: round:6, frame:3, iter:9, this-value:-77.40605780815898, time-cost:0.009999275207519531, ||iter-of-best-cache:3, frame-of-best-cache:3, round-best-value:-80.14818666328318
FLOODING: round:7, frame:1, iter:1, this-value:-106.01208841051138, time-cost:0.009999752044677734, ||iter-of-best-cache:1, frame-of-best-cache:1, round-best-value:-106.01208841051138
FLOODING: round:7, frame:1, iter:4, this-value:-104.33562138867237, time-cost:0.012003898620605469, ||iter-of-best-cache:1, frame-of-best-cache:1, round-best-value:-106.01208841051138
FLOODING: round:7, frame:1, iter:5, this-value:-80.1481866632832, time-cost:0.010998725891113281, ||iter-of-best-cache:1, frame-of-best-cache:1, round-best-value:-106.01208841051138
FLOODING: round:7, frame:1, iter:6, this-value:-80.1481866632832, time-cost:0.009997844696044922, ||iter-of-best-cache:1, frame-of-best-cache:1, round-best-value:-106.01208841051138
FLOODING: round:7, frame:1, iter:7, this-value:-80.1481866632832, time-cost:0.012000560760498047, ||iter-of-best-cache:1, frame-of-best-cache:1, round-best-value:-106.01208841051138
FLOODING: round:7, frame:1, iter:8, this-value:-80.1481866632832, time-cost:0.009999752044677734, ||iter-of-best-cache:1, frame-of-best-cache:1, round-best-value:-106.01208841051138
FLOODING: round:7, frame:1, iter:9, this-value:-80.1481866632832, time-cost:0.010002374649047852, ||iter-of-best-cache:1, frame-of-best-cache:1, round-best-value:-106.01208841051138
FLOODING: round:7, frame:2, iter:1, this-value:-106.01208841051138, time-cost:0.010998725891113281, ||iter-of-best-cache:1, frame-of-best-cache:2, round-best-value:-106.01208841051138
FLOODING: round:7, frame:2, iter:4, this-value:-104.33562138867234, time-cost:0.010999679565429688, ||iter-of-best-cache:1, frame-of-best-cache:2, round-best-value:-106.01208841051138
